Timestamp;datetime;Temperature;Humidity;CO2;Noise;Pressure
1513332136;"2017/12/15 11:02:16";21.7;33;562;39;932.4
1513332439;"2017/12/15 11:07:19";21.7;33;577;41;932.2
1513332743;"2017/12/15 11:12:23";21.7;33;550;44;932.3
1513333045;"2017/12/15 11:17:25";21.7;33;553;45;932.3
1513333347;"2017/12/15 11:22:27";21.7;33;557;46;932.4
1513333651;"2017/12/15 11:27:31";21.7;33;561;44;932.3
1513333954;"2017/12/15 11:32:34";21.7;33;562;45;932.4
1513334257;"2017/12/15 11:37:37";21.8;33;559;46;932.4
1513334560;"2017/12/15 11:42:40";21.9;33;569;46;932.4
1513334860;"2017/12/15 11:47:40";21.9;33;568;42;932.4
1513335163;"2017/12/15 11:52:43";21.9;33;543;42;932.3
1513335466;"2017/12/15 11:57:46";21.9;33;558;57;932.2
1513335769;"2017/12/15 12:02:49";22;33;574;45;932.2
1513336071;"2017/12/15 12:07:51";22.1;33;570;42;932.3
1513336374;"2017/12/15 12:12:54";22.1;33;564;42;932.3
1513336677;"2017/12/15 12:17:57";22.2;33;561;48;932.2
1513336980;"2017/12/15 12:23:00";22.2;33;555;51;932.2
1513337282;"2017/12/15 12:28:02";22.2;33;549;53;932.3
1513337584;"2017/12/15 12:33:04";22.3;33;564;52;932.3
1513337889;"2017/12/15 12:38:09";22.3;33;574;53;932.3
1513338192;"2017/12/15 12:43:12";22.4;33;573;50;932.3
1513338495;"2017/12/15 12:48:15";22.4;33;580;48;932.3
1513338798;"2017/12/15 12:53:18";22.4;33;584;46;932.3
1513339097;"2017/12/15 12:58:17";22.4;33;587;45;932.3
1513339400;"2017/12/15 13:03:20";22.5;33;591;43;932.2
1513339703;"2017/12/15 13:08:23";22.5;33;582;46;932.2
1513340006;"2017/12/15 13:13:26";22.5;33;579;46;932.2
1513340309;"2017/12/15 13:18:29";22.5;33;576;49;932.2
1513340612;"2017/12/15 13:23:32";22.5;33;570;48;932.2
1513340915;"2017/12/15 13:28:35";22.4;33;575;42;932.1
1513341218;"2017/12/15 13:33:38";22.4;33;558;38;932.1
1513341519;"2017/12/15 13:38:39";22.4;33;547;41;932.2
1513341822;"2017/12/15 13:43:42";22.1;32;483;42;932
1513342126;"2017/12/15 13:48:46";21.7;32;432;41;932
1513342428;"2017/12/15 13:53:48";21.4;32;451;39;931.9
1513342730;"2017/12/15 13:58:50";21.3;32;387;40;931.8
1513343033;"2017/12/15 14:03:53";21.2;31;370;40;931.9
1513343337;"2017/12/15 14:08:57";21.1;31;382;40;931.8
1513343639;"2017/12/15 14:13:59";20.9;31;369;41;931.8
1513343941;"2017/12/15 14:19:01";20.8;31;366;40;931.9
1513344244;"2017/12/15 14:24:04";20.7;31;352;41;931.9
1513344547;"2017/12/15 14:29:07";20.5;31;363;39;931.8
1513344850;"2017/12/15 14:34:10";20.4;30;341;39;931.8
1513345152;"2017/12/15 14:39:12";20.3;30;343;46;931.8
1513345455;"2017/12/15 14:44:15";20.4;30;355;47;931.8
1513345758;"2017/12/15 14:49:18";20.5;30;371;46;931.8
1513346060;"2017/12/15 14:54:20";20.6;31;394;48;931.8
1513346363;"2017/12/15 14:59:23";20.8;31;406;48;931.9
1513346666;"2017/12/15 15:04:26";20.9;31;415;47;931.9
1513346969;"2017/12/15 15:09:29";21;31;443;47;932
1513347272;"2017/12/15 15:14:32";21.1;31;453;51;932
1513347576;"2017/12/15 15:19:36";21.1;31;453;42;932
1513347879;"2017/12/15 15:24:39";21.2;31;459;41;932.1
1513348182;"2017/12/15 15:29:42";21.2;31;474;42;932
1513348485;"2017/12/15 15:34:45";21.3;31;469;43;932
1513348787;"2017/12/15 15:39:47";21.3;31;457;44;932.1
1513349090;"2017/12/15 15:44:50";21.3;31;461;39;932
1513349393;"2017/12/15 15:49:53";21.4;31;470;38;932
1513349696;"2017/12/15 15:54:56";21.4;31;461;38;932.1
1513349999;"2017/12/15 15:59:59";21.4;31;465;37;932.1
1513350301;"2017/12/15 16:05:01";21.4;31;459;38;932.1
1513350604;"2017/12/15 16:10:04";21.4;31;447;39;932.1
1513350907;"2017/12/15 16:15:07";21.4;31;462;39;932.1
1513351208;"2017/12/15 16:20:08";21.5;31;466;39;932.1
1513351511;"2017/12/15 16:25:11";21.5;31;464;40;932.1
1513351814;"2017/12/15 16:30:14";21.5;31;479;44;932.1
1513352117;"2017/12/15 16:35:17";21.5;31;478;45;932.1
1513352420;"2017/12/15 16:40:20";21.5;31;488;43;932
1513352723;"2017/12/15 16:45:23";21.5;31;492;44;932
1513353027;"2017/12/15 16:50:27";21.5;31;502;41;932
1513353330;"2017/12/15 16:55:30";21.5;32;514;41;932
1513353632;"2017/12/15 17:00:32";21.5;32;521;41;932.1
1513353935;"2017/12/15 17:05:35";21.5;32;519;41;932.1
1513354239;"2017/12/15 17:10:39";21.4;32;481;48;932.1
1513354543;"2017/12/15 17:15:43";21;31;434;49;932
1513354844;"2017/12/15 17:20:44";20.5;31;412;46;932
1513355147;"2017/12/15 17:25:47";20.5;32;398;45;932
1513355451;"2017/12/15 17:30:51";20.4;32;401;46;932
1513355754;"2017/12/15 17:35:54";20.4;32;408;46;932
1513356056;"2017/12/15 17:40:56";20.4;32;407;47;932
1513356359;"2017/12/15 17:45:59";20.5;32;412;47;932
1513356662;"2017/12/15 17:51:02";20.5;32;428;45;932
1513356965;"2017/12/15 17:56:05";20.6;33;443;46;932.1
1513357267;"2017/12/15 18:01:07";20.7;33;443;50;932.2
1513357570;"2017/12/15 18:06:10";20.8;33;473;50;932
1513357873;"2017/12/15 18:11:13";20.9;33;500;46;932
1513358176;"2017/12/15 18:16:16";21;33;498;45;932
1513358478;"2017/12/15 18:21:18";21;33;507;46;932.1
1513358781;"2017/12/15 18:26:21";21.1;34;535;46;932.1
1513359084;"2017/12/15 18:31:24";21.1;34;524;45;932.1
1513359387;"2017/12/15 18:36:27";21.1;34;553;44;932.1
1513359689;"2017/12/15 18:41:29";21.2;34;573;48;932.2
1513359992;"2017/12/15 18:46:32";21.2;34;589;44;932.2
1513360295;"2017/12/15 18:51:35";21.3;34;558;49;932.2
1513360598;"2017/12/15 18:56:38";21.3;34;572;54;932.2
1513360900;"2017/12/15 19:01:40";21.3;34;587;46;932.2
1513361202;"2017/12/15 19:06:42";21.3;34;591;50;932.3
1513361506;"2017/12/15 19:11:46";21.4;34;594;48;932.3
1513361809;"2017/12/15 19:16:49";21.4;34;595;46;932.3
1513362112;"2017/12/15 19:21:52";21.4;34;587;45;932.3
1513362415;"2017/12/15 19:26:55";21.4;34;604;48;932.3
1513362717;"2017/12/15 19:31:57";21.5;34;606;48;932.3
1513363020;"2017/12/15 19:37:00";21.5;34;612;44;932.3
1513363321;"2017/12/15 19:42:01";21.5;34;611;45;932.3
1513363624;"2017/12/15 19:47:04";21.5;34;601;41;932.3
1513363927;"2017/12/15 19:52:07";21.5;35;617;44;932.4
1513364230;"2017/12/15 19:57:10";21.5;35;611;45;932.4
1513364533;"2017/12/15 20:02:13";21.6;35;602;43;932.4
1513364836;"2017/12/15 20:07:16";21.6;34;581;46;932.5
1513365138;"2017/12/15 20:12:18";21.6;34;594;50;932.5
1513365441;"2017/12/15 20:17:21";21.6;34;591;58;932.6
1513365746;"2017/12/15 20:22:26";21.6;34;583;54;932.6
1513366048;"2017/12/15 20:27:28";21.6;34;595;44;932.5
1513366349;"2017/12/15 20:32:29";21.6;34;597;37;932.5
1513366652;"2017/12/15 20:37:32";21.6;34;579;37;932.6
1513366955;"2017/12/15 20:42:35";21.6;34;558;39;932.7
1513367257;"2017/12/15 20:47:37";21.6;34;568;42;932.7
1513367560;"2017/12/15 20:52:40";21.6;34;551;39;932.7
1513367863;"2017/12/15 20:57:43";21.6;34;538;43;932.7
1513368167;"2017/12/15 21:02:47";21.6;34;538;44;932.7
1513368469;"2017/12/15 21:07:49";21.6;34;534;40;932.7
1513368770;"2017/12/15 21:12:50";21.6;34;537;36;932.7
1513369073;"2017/12/15 21:17:53";21.6;34;525;36;932.7
1513369376;"2017/12/15 21:22:56";21.6;34;532;35;932.8
1513369679;"2017/12/15 21:27:59";21.6;34;508;35;932.8
1513369982;"2017/12/15 21:33:02";21.6;34;523;38;932.8
1513370285;"2017/12/15 21:38:05";21.6;34;523;37;932.8
1513370588;"2017/12/15 21:43:08";21.6;34;521;38;932.8
1513370891;"2017/12/15 21:48:11";21.6;34;535;35;932.9
1513371193;"2017/12/15 21:53:13";21.6;34;530;36;932.9
1513371496;"2017/12/15 21:58:16";21.6;34;539;35;933
1513371799;"2017/12/15 22:03:19";21.6;34;540;36;932.8
1513372102;"2017/12/15 22:08:22";21.6;34;543;36;932.7
1513372405;"2017/12/15 22:13:25";21.6;34;540;38;932.8
1513372708;"2017/12/15 22:18:28";21.6;34;535;35;932.9
1513373010;"2017/12/15 22:23:30";21.6;34;548;37;932.9
1513373313;"2017/12/15 22:28:33";21.6;34;529;35;932.9
1513373616;"2017/12/15 22:33:36";21.6;34;539;35;932.9
1513373919;"2017/12/15 22:38:39";21.5;34;527;35;932.9
1513374222;"2017/12/15 22:43:42";21.5;34;529;38;932.9
1513374525;"2017/12/15 22:48:45";21.5;34;523;35;932.8
1513374828;"2017/12/15 22:53:48";21.5;34;525;36;932.8
1513375130;"2017/12/15 22:58:50";21.5;34;510;35;932.7
1513375433;"2017/12/15 23:03:53";21.5;34;502;35;932.8
1513375736;"2017/12/15 23:08:56";21.5;33;500;36;932.8
1513376039;"2017/12/15 23:13:59";21.4;33;492;35;933
1513376342;"2017/12/15 23:19:02";21.4;33;491;35;933.1
1513376644;"2017/12/15 23:24:04";21.4;33;487;35;933.2
1513376947;"2017/12/15 23:29:07";21.4;33;486;35;933.4
1513377250;"2017/12/15 23:34:10";21.4;33;496;35;933.3
1513377553;"2017/12/15 23:39:13";21.4;33;519;36;933.3
1513377856;"2017/12/15 23:44:16";21.4;33;503;36;933.3
1513378159;"2017/12/15 23:49:19";21.4;33;491;35;933.4
1513378462;"2017/12/15 23:54:22";21.3;33;490;37;933.4
1513378764;"2017/12/15 23:59:24";21.3;33;489;35;933.4
1513379067;"2017/12/16 00:04:27";21.3;33;492;35;933.4
1513379370;"2017/12/16 00:09:30";21.3;33;488;36;933.4
1513379673;"2017/12/16 00:14:33";21.3;33;498;35;933.4
1513379976;"2017/12/16 00:19:36";21.3;33;507;35;933.3
1513380279;"2017/12/16 00:24:39";21.3;33;503;36;933.3
1513380582;"2017/12/16 00:29:42";21.3;33;507;36;933.3
1513380884;"2017/12/16 00:34:44";21.3;33;552;36;933.2
